overmind 1418.343506 4709.656250 239.125000 0.000000 -135.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
barricade 1664.000000 4608.000000 255.125000 0.000000 90.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
hive 1525.716919 4746.459473 451.399139 0.000000 -66.000000 -104.000000 0.707107 0.707107 0.000000 0.000000 0.000000 0.000000
hive 1374.013794 4912.125000 476.323425 0.000000 29.000000 -119.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000
eggpod 1046.633911 4917.021484 640.875000 0.000000 -151.000000 -180.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000
mgturret 2320.000000 1471.999512 292.125000 0.000000 90.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
hive 1451.103271 4821.072754 446.867889 0.000000 144.000000 96.000000 0.707107 0.707107 0.000000 0.000000 0.000000 0.000000
hive 994.857605 4912.125000 507.682556 0.000000 134.000000 136.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000
reactor 1840.000244 1743.999756 276.125000 0.000000 90.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
telenode 2336.000000 1152.000000 276.125000 0.000000 270.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
telenode 1863.999634 1616.000122 276.125000 0.000000 225.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
arm 2440.000000 1248.000000 283.424988 0.000000 90.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
medistat 2376.000000 1320.000000 272.125000 0.000000 315.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret 2047.999756 1663.999390 292.125000 0.000000 -45.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret 2159.999756 1264.000122 292.125000 0.000000 135.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret 2248.000000 1672.000000 292.125000 0.000000 -90.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
drill 1888.000000 1824.000122 287.125000 0.000000 135.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
leech 1739.009644 4666.149414 470.125000 0.000000 -80.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
mgturret 1967.999756 1440.000122 292.125000 0.000000 -135.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
eggpod 1551.774170 4731.986328 640.875000 0.000000 -99.000000 -180.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000
trapper 1447.777954 4655.125000 408.255554 0.000000 -176.000000 87.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000
eggpod 1507.637817 4661.119141 416.875000 0.000000 -23.000000 -180.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000
eggpod 1442.619019 4845.231934 640.875000 0.000000 -168.000000 -180.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000
eggpod 1367.012695 4808.229980 416.875000 0.000000 122.000000 -180.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000
leech 884.391541 4916.125000 498.830475 0.000000 -179.000000 89.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000
booster 1511.811035 4803.853027 233.125000 0.000000 -132.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
booster 908.211182 4920.049316 249.125000 0.000000 -167.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000
eggpod 1318.746582 4916.659180 640.875000 0.000000 -36.000000 -180.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000
eggpod 1210.874023 4917.298828 640.875000 0.000000 -129.000000 -180.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000
